product_url,product_name,price,image,product_description,unique_id,ingredients,details,currency,product_id
https://www.cleverleben.at/produkt/haltbare-leichtmilch-05-fett-1l-27635,"Haltbare Leichtmilch 0,5% Fett, 1l",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-635-0986532864-v2vwhCnj.png'],"Haltbare Leichtmilch 0,5% Fett, 1l",27635,,Zum Inhalt,€,27635
https://www.cleverleben.at/produkt/schmelzkaese-eckerl-mix-250g-2715556,"Schmelzkäse Eckerl Mix, 250g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-15556-2060059774-Fph0Vo7k.png'],"Schmelzkäse Eckerl Mix, 250g",2715556,,Zum Inhalt,€,2715556
https://www.cleverleben.at/produkt/basmati-reis-1kg-274488,"Basmati Reis, 1kg",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-4488-0294875001-YvgraSNO.png'],,274488,,Zum Inhalt,€,274488
https://www.cleverleben.at/produkt/dinkel-spaghetti-500g-2726026,"Dinkel Spaghetti, 500g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-26026-01725714845-Lu27dNa2.png'],"Dinkel Spaghetti, 500g",2726026,,Zum Inhalt,€,2726026
https://www.cleverleben.at/produkt/suppengruen-gefriergetrocknet-35g-2725389,"Suppengrün gefriergetrocknet, 35g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-25389-1184167676-DkOpKkIc.png'],"Suppengrün gefriergetrocknet, 35g",2725389,,Zum Inhalt,€,2725389
https://www.cleverleben.at/produkt/mozzarella-125g-273801,"Mozzarella, 125g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3801-0539300109-pTyGrpaE.png'],,273801,,Zum Inhalt,€,273801
https://www.cleverleben.at/produkt/kochcreme-7-fett-250ml-2725081,"Kochcreme 7% Fett, 250ml",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-25081-130231863-E7iMqirK.png'],"Kochcreme 7% Fett, 250ml",2725081,,Zum Inhalt,€,2725081
https://www.cleverleben.at/produkt/back-mozzarella-sticks-mit-tomatenpaprikadip-300g-2725415,"Back Mozzarella Sticks mit Tomaten-Paprika-Dip, 300g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-25415-475664704-aPEHAEwI.png'],"Back Mozzarella Sticks mit Tomaten-Paprika-Dip, 300g",2725415,,Zum Inhalt,€,2725415
https://www.cleverleben.at/produkt/cottage-cheese-light-natur-250g-2723281,"Cottage Cheese light natur, 250g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-23281-1607006724-YpT7a7M9.png'],"Cottage Cheese light natur, 250g",2723281,,Zum Inhalt,€,2723281
https://www.cleverleben.at/produkt/toastkaese-scheiben-xxl-250g-2723508,"Toastkäse Scheiben XXL, 250g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-23508-0282589615-zdcUpTm-.png'],"Toastkäse Scheiben XXL, 250g",2723508,,Zum Inhalt,€,2723508
https://www.cleverleben.at/produkt/haltbare-vollmilch-35-fett-1l-273799,"Haltbare Vollmilch 3,5% Fett, 1l",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3799-94527810-4O0790Jg.png'],"Haltbare Vollmilch 3,5% Fett, 1l",273799,,Zum Inhalt,€,273799
https://www.cleverleben.at/produkt/weisse-bohnen-800g-273747,"Weisse Bohnen, 800g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3747-0611147563-VGuCHLY_.png'],,273747,,Zum Inhalt,€,273747
https://www.cleverleben.at/produkt/linsen-800g-273745,"Linsen, 800g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3745-01606391801-5KRlNak-.png'],,273745,,Zum Inhalt,€,273745
https://www.cleverleben.at/produkt/butterkaese-im-stueck-45-fett-itr-350g-2716702,"Butterkäse im Stück 45% Fett i.Tr., 350g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-16702-871537566-dwvmNZoi.png'],"Butterkäse im Stück 45% Fett i.Tr., 350g",2716702,,Zum Inhalt,€,2716702
https://www.cleverleben.at/produkt/ravioli-in-tomatensauce-800g-2724949,"Ravioli in Tomatensauce, 800g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-24949-984644654-49A7icjn.png'],"Ravioli in Tomatensauce, 800g",2724949,,Zum Inhalt,€,2724949
https://www.cleverleben.at/produkt/grosslochkaese-im-stueck-45-fett-itr-400g-2716704,"Großlochkäse im Stück 45% Fett i.Tr., 400g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-16704-852871826-PDbtFo1c.png'],"Großlochkäse im Stück 45% Fett i.Tr., 400g",2716704,,Zum Inhalt,€,2716704
https://www.cleverleben.at/produkt/thunfisch-in-eigenem-saft-3x80g-2723840,"Thunfisch in eigenem Saft, 3x80g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-23840-01919962579-sak8EMg9.png'],"Thunfisch in eigenem Saft, 3x80g",2723840,,Zum Inhalt,€,2723840
https://www.cleverleben.at/produkt/butterkaese-in-scheiben-45-fett-itr-400g-2716701,"Butterkäse in Scheiben 45% Fett i.Tr., 400g",0.00,['https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-16701-544503173-vEb6v331.png'],"Butterkäse in Scheiben 45% Fett i.Tr., 400g",2716701,,Zum Inhalt,€,2716701
